Loan_ID,Gender,Married,Dependent_No,Education,Self_Employed,Applicant_Income,CoApplicant_Income,Loan_Amount,Loan_Amount_Term,Credit_History,Loan_Status
23033,Male,1,4,Graduate,0,57925,33078,60000,180,1,0
23034,Male,1,0,Graduate,1,23790,39472,20000,120,1,0
23035,Male,1,0,Graduate,0,81011,38664,60000,60,0,1
23036,Male,1,2,Not Graduate,1,53331,49263,20000,240,0,1
23037,Male,0,3,Graduate,1,60771,44865,60000,360,0,1
23038,Female,1,2,Graduate,1,3733,15242,30000,300,1,1
23039,Male,0,4,Not Graduate,1,54472,7864,50000,120,1,1
23040,Female,0,1,Not Graduate,1,23065,44119,20000,360,1,1
23041,Male,1,2,Not Graduate,1,55661,48725,40000,300,1,1
23042,Female,1,2,Not Graduate,0,59343,20204,50000,240,1,0
23043,Male,1,0,Not Graduate,0,76034,15896,60000,120,1,1
23044,Male,1,0,Not Graduate,0,37750,41111,10000,360,1,1
23045,Male,0,4,Not Graduate,0,11316,32884,30000,60,0,1
23046,Male,0,4,,1,49415,,10000,120,0,1
23047,Male,0,2,Not Graduate,0,55253,43102,30000,240,1,1
23048,Male,1,2,Not Graduate,1,61832,1374,20000,240,0,1
23049,Male,0,1,Not Graduate,1,54421,26002,10000,60,1,0
23050,Female,0,4,Not Graduate,0,85594,37344,60000,180,1,0
23051,Male,1,0,Graduate,1,8875,29201,60000,60,0,0
23052,Male,0,0,Not Graduate,1,51308,9566,30000,180,0,0
23053,Male,1,3,Graduate,0,32557,33205,40000,240,1,0
23054,Male,0,3,,1,53132,32409,40000,300,1,1
23055,,0,2,Graduate,1,32431,45212,10000,300,1,1
23056,Male,0,1,Not Graduate,1,7576,36872,10000,300,1,1
23057,Male,1,1,Not Graduate,1,34061,43871,30000,360,1,0
23058,Male,1,4,Not Graduate,0,84303,46106,20000,240,1,1
23059,Male,1,0,,1,63665,,50000,60,1,0
23060,Male,1,1,Not Graduate,1,86021,45175,60000,120,0,0
23061,,1,2,Not Graduate,1,59725,41880,60000,360,0,1
23062,Male,0,4,Not Graduate,0,8741,43089,10000,300,1,0
23063,Male,1,4,Graduate,1,45629,44563,50000,120,1,1
23064,Male,0,3,Not Graduate,1,67596,40103,60000,180,0,1
23065,Female,1,3,Graduate,1,51152,,60000,180,1,1
23066,Female,1,4,Not Graduate,0,97539,45921,20000,60,0,0
23067,Male,0,0,Graduate,1,3750,47086,50000,60,1,1
23068,Male,1,1,Graduate,0,72359,17109,20000,240,0,0
23069,Male,1,3,Graduate,1,11400,33012,50000,360,0,0
23070,Male,0,4,Not Graduate,1,69371,15703,60000,60,1,1
23071,Male,0,2,Graduate,1,35475,7930,30000,240,1,1
23072,Male,0,4,Graduate,1,62107,39929,40000,60,1,1
23073,Female,1,3,Not Graduate,1,34344,10813,50000,60,1,0
23074,Male,0,1,Graduate,1,74916,22849,20000,360,1,0
23075,Male,1,4,Graduate,1,75510,24223,40000,120,0,1
23076,Male,0,4,Graduate,1,73830,9555,40000,360,1,0
23077,Male,1,4,Not Graduate,1,97761,1554,20000,120,0,0
23078,Male,0,2,Graduate,0,73939,39096,20000,60,1,1
23079,Female,0,1,Not Graduate,1,23849,21755,10000,300,0,0
23080,Male,0,1,Not Graduate,1,82547,,60000,180,1,1
23081,Male,0,3,Not Graduate,1,89870,30701,60000,180,0,0
23082,Female,1,2,Graduate,0,84853,28676,30000,300,1,1
23083,Female,1,3,Graduate,1,57373,18901,50000,300,1,0
23084,Male,1,1,Not Graduate,1,87904,26545,60000,300,1,1
23085,Male,0,4,Graduate,0,29047,23464,60000,120,0,1
23086,Male,0,4,Not Graduate,0,39977,25310,10000,360,0,1
23087,Female,0,1,Not Graduate,0,22083,11375,30000,360,0,0
23088,Female,1,0,Not Graduate,0,55981,41804,60000,60,0,1
23089,Male,0,1,Not Graduate,1,84115,32359,30000,120,1,1
23090,Male,0,0,Not Graduate,0,37590,41736,10000,120,1,1
23091,Male,0,1,,0,28893,,10000,120,1,1
23092,Male,1,2,Not Graduate,1,94400,,20000,60,1,0
23093,Female,1,3,,0,99334,25803,20000,180,1,1
23094,Male,0,1,Not Graduate,0,77965,38757,20000,180,1,0
23095,Male,0,2,Not Graduate,0,70544,13939,60000,240,1,1
23096,Male,0,3,Graduate,0,25919,2734,30000,60,1,0
23097,Female,0,4,Not Graduate,1,96009,21601,40000,60,0,1
23098,Male,0,4,Not Graduate,0,15666,5330,10000,360,1,1
23099,Female,0,2,Not Graduate,1,45045,24963,10000,60,1,0
23100,Female,1,1,Graduate,1,93468,,50000,60,1,0
23101,Male,0,2,Not Graduate,1,76109,,60000,180,1,0
23102,Male,0,1,Not Graduate,1,54702,33457,60000,300,1,1
23103,Male,0,1,Not Graduate,1,35145,42753,10000,360,1,0
23104,Male,1,2,Graduate,0,87518,34804,10000,120,0,1
23105,Male,0,0,Not Graduate,1,14723,6631,20000,300,0,0
23106,Male,0,0,Not Graduate,1,54806,23825,40000,300,0,1
23107,Male,1,1,Graduate,1,51300,2330,40000,180,1,1
23108,Male,1,0,Not Graduate,1,30318,6590,40000,120,0,0
23109,Male,1,3,Graduate,0,28512,7325,10000,60,0,0
23110,Male,1,2,Not Graduate,1,7672,30317,30000,120,0,0
23111,Male,1,3,Graduate,1,61941,25991,30000,360,0,1
23112,Male,1,1,Graduate,1,54085,15624,20000,60,1,0
23113,Male,1,0,Not Graduate,1,76472,12695,60000,180,1,0
23114,Male,0,4,Graduate,1,89338,16371,30000,360,1,1
23115,Female,1,1,Not Graduate,0,72920,4188,50000,360,1,1
23116,Male,0,3,Graduate,1,11670,29446,50000,360,1,0
23117,Male,1,1,Not Graduate,0,47686,18832,60000,180,1,0
23118,Male,0,3,Graduate,1,57011,38132,40000,60,0,0
23119,Male,0,4,Not Graduate,1,53735,4119,30000,60,0,1
23120,Male,0,4,,1,1415,,60000,180,1,1
23121,Female,0,3,Graduate,1,88076,38926,10000,240,0,0
23122,Female,1,3,Graduate,1,68940,23390,20000,120,1,0
23123,Female,0,4,Graduate,0,82340,6276,20000,300,1,1
23124,Male,0,0,Graduate,1,70107,37426,50000,240,1,1
23125,Male,1,3,Not Graduate,1,75330,19692,40000,240,1,1
23126,,0,3,Not Graduate,0,28317,17656,40000,360,0,1
23127,Male,1,3,Graduate,1,21874,30508,20000,300,0,0
23128,Male,0,1,Graduate,0,86903,13345,40000,120,1,1
23129,Female,1,4,Graduate,1,54564,34800,10000,360,1,0
23130,Male,0,3,,1,23691,7816,50000,60,1,0
23131,Male,1,3,Not Graduate,0,67778,12223,40000,360,1,1
23132,Male,0,3,Not Graduate,0,66577,15347,10000,180,1,0
23133,Female,1,3,Graduate,0,26347,22471,50000,120,1,0
23134,Female,0,2,Not Graduate,1,76584,18286,60000,240,1,1
23135,Male,0,3,Not Graduate,0,98004,,60000,360,1,0
23136,Male,1,2,Graduate,0,12988,37004,10000,180,1,0
23137,Female,0,4,Graduate,1,38433,15350,30000,240,1,1
23138,Male,1,2,Graduate,1,47812,15903,50000,60,1,1
23139,Male,0,1,Graduate,0,92329,13047,10000,240,0,1
23140,Male,0,3,Not Graduate,1,51606,30709,30000,360,0,0
23141,Female,0,2,Graduate,1,12059,48495,20000,240,1,1
23142,Female,0,3,Graduate,1,86921,9389,50000,300,1,1
23143,Male,0,3,Not Graduate,0,47197,14558,60000,360,0,1
23144,Male,1,0,Graduate,1,74440,4582,40000,180,1,1
23145,Male,1,0,Not Graduate,0,99586,37020,50000,60,1,0
23146,Male,1,0,Graduate,1,26668,,30000,180,0,0
23147,Female,1,0,Not Graduate,1,86508,,50000,120,0,1
23148,Male,0,3,Graduate,1,19928,47536,10000,300,1,0
23149,Male,0,3,,1,79059,47668,10000,180,1,1
23150,Male,0,1,Not Graduate,1,99851,23468,40000,180,0,1
23151,Male,1,3,Not Graduate,1,15856,,20000,240,1,1
23152,Male,0,1,Not Graduate,1,65945,10337,50000,60,1,1
23153,Female,0,4,Not Graduate,1,16168,38326,40000,300,0,1
23154,Male,0,1,Graduate,1,10191,42698,40000,300,0,1
23155,Male,0,4,Graduate,0,66826,21563,40000,120,0,1
23156,Female,0,4,Graduate,1,10429,,10000,180,1,1
23157,Female,0,4,Graduate,1,28226,26752,40000,360,1,1
23158,Male,0,2,,1,20171,30325,10000,180,1,1
23159,Male,1,3,Not Graduate,1,21307,,60000,300,0,1
23160,Female,1,0,Graduate,0,57289,23208,20000,240,1,1
23161,Female,0,2,Graduate,1,66828,46477,30000,120,1,1
23162,Male,1,1,Graduate,1,38896,18174,50000,240,1,0
23163,Female,1,4,Graduate,1,58694,44947,50000,240,1,0
23164,Male,0,4,Not Graduate,1,89011,39331,30000,300,1,1
23165,Female,0,0,Not Graduate,0,20083,23465,60000,60,1,1
23166,Female,0,3,Not Graduate,0,67962,37717,30000,180,1,0
23167,Female,0,4,,1,20001,47754,40000,120,1,1
23168,Female,0,4,Not Graduate,1,2792,,60000,240,0,1
23169,Male,1,2,Not Graduate,0,39407,,30000,60,0,1
23170,Female,0,0,Graduate,0,13804,,40000,300,1,0
23171,Male,0,3,Not Graduate,1,65936,44730,10000,180,0,0
23172,Female,0,1,Not Graduate,1,6602,3046,30000,120,1,1
23173,Male,1,1,Graduate,0,98889,2169,20000,60,1,1
23174,,0,4,Not Graduate,1,57575,26944,60000,60,1,0
23175,Female,1,1,,0,65910,47076,20000,240,1,1
23176,Male,1,3,Graduate,0,70292,13175,40000,300,1,1
23177,Male,0,4,Graduate,0,90756,,20000,120,0,0
23178,Male,0,2,Not Graduate,1,47102,12942,30000,300,1,1
23179,Female,0,0,Graduate,0,66502,37039,40000,120,0,0
23180,Male,1,3,Graduate,0,17053,45326,10000,240,0,1
23181,Male,1,3,Graduate,1,39212,,40000,180,1,1
23182,Male,1,4,Not Graduate,1,9085,9019,60000,180,1,1
23183,Male,0,4,Graduate,1,85835,44886,10000,300,1,0
23184,Male,0,2,Not Graduate,0,10516,49982,50000,240,1,0
23185,,1,1,Graduate,0,26441,2598,50000,180,1,1
23186,Male,0,4,Graduate,1,13904,32800,60000,60,1,1
23187,Female,1,4,Graduate,1,34587,13361,30000,180,0,0
23188,Male,0,1,Not Graduate,1,29845,17111,60000,240,1,0
23189,Male,0,4,Not Graduate,1,81440,48327,50000,360,1,0
23190,Male,1,4,Not Graduate,1,2731,35043,30000,300,1,1
23191,Male,0,4,Not Graduate,1,45482,37966,30000,180,0,0
23192,Female,0,0,Not Graduate,0,74048,,50000,60,1,0
23193,Female,1,2,Graduate,0,47304,26263,20000,60,0,1
23194,Male,1,1,Not Graduate,0,91114,11717,50000,300,0,1
23195,Male,1,4,Not Graduate,0,21874,16774,50000,300,1,1
23196,Male,1,2,Not Graduate,1,81087,7902,30000,300,1,0
23197,Female,0,1,Graduate,1,28975,13132,10000,240,0,0
23198,Male,0,4,,1,17567,43004,50000,360,0,1
23199,Female,0,0,Graduate,0,94541,10110,50000,240,1,0
23200,Female,0,0,Not Graduate,0,69219,16201,50000,300,1,0
23201,Male,0,2,Graduate,1,28829,47736,40000,120,1,0
23202,Male,1,0,Graduate,0,81733,4632,50000,120,1,0
23203,Female,0,1,Graduate,0,99474,6527,10000,60,0,1
23204,Male,1,2,Not Graduate,0,19409,35813,30000,240,1,1
23205,Male,0,1,Graduate,0,38885,33202,10000,240,1,0
23206,Female,0,3,Not Graduate,0,91690,,60000,240,0,1
23207,Female,1,3,Graduate,1,3411,5271,30000,240,1,1
23208,Male,0,3,Graduate,0,76701,2592,10000,60,1,1
23209,Female,1,2,Graduate,1,32573,23838,30000,360,0,0
23210,Male,0,4,Not Graduate,1,24844,21288,20000,180,1,1
23211,Male,0,4,Not Graduate,1,85211,,50000,300,1,1
23212,Male,1,3,Not Graduate,1,40527,17374,60000,180,0,0
23213,Female,0,0,Graduate,0,80837,46228,30000,360,1,1
23214,Male,1,2,Graduate,0,52919,35105,30000,300,1,0
23215,Male,1,3,Graduate,0,50022,49560,10000,360,0,1
23216,Female,0,2,Not Graduate,1,72475,6860,30000,300,0,1
23217,,1,0,Graduate,1,46914,26121,50000,60,1,1
23218,Male,0,0,Not Graduate,0,10831,11771,40000,300,0,0
23219,Male,1,3,Not Graduate,0,32884,26488,40000,240,0,0
23220,Female,1,4,Not Graduate,1,29771,13717,40000,300,0,0
23221,Male,1,3,Graduate,0,99445,49258,10000,240,1,1
23222,Female,1,0,Not Graduate,0,51765,,40000,360,0,1
23223,Male,1,4,Graduate,0,27413,13296,10000,360,1,0
23224,Male,0,2,Graduate,0,87565,,10000,300,0,1
23225,Male,1,4,Not Graduate,0,3505,19626,20000,180,1,0
23226,Female,1,3,Not Graduate,0,85771,46799,20000,180,0,1
23227,Male,0,0,Graduate,1,21318,13686,20000,120,1,1
23228,Female,0,0,Not Graduate,1,91201,40201,10000,300,0,0
23229,Female,0,0,Not Graduate,0,66314,26001,60000,120,1,1
23230,Male,0,4,Not Graduate,0,84755,46207,50000,180,0,1
23231,Male,1,3,Not Graduate,1,60791,25255,30000,60,1,0
23232,Female,0,3,Not Graduate,1,93530,9661,20000,120,1,0
23233,Female,1,4,Not Graduate,1,3980,13001,30000,180,1,1
23234,Male,1,0,Not Graduate,1,19354,46792,30000,300,1,1
23235,Male,1,4,Graduate,1,64208,39132,60000,180,1,1
23236,Male,0,4,Not Graduate,1,58502,,20000,300,1,1
23237,Male,0,2,Not Graduate,1,99640,33304,50000,60,0,0
23238,Male,1,0,Not Graduate,1,8412,,20000,180,1,0
23239,Male,1,0,Graduate,1,90797,14377,30000,120,1,0
23240,Female,0,2,Not Graduate,1,75019,14276,30000,60,1,0
23241,Male,1,4,Not Graduate,1,78897,25632,10000,240,1,1
23242,Female,1,0,Not Graduate,0,44229,20717,40000,120,1,1
23243,Female,1,3,Graduate,0,65477,49143,30000,300,1,1
23244,Female,1,2,Graduate,1,98206,26969,40000,120,0,1
23245,Female,0,1,Not Graduate,1,66016,14553,20000,360,0,0
23246,Male,0,2,Graduate,1,83543,,10000,240,1,0
23247,Male,1,1,Graduate,0,14204,16312,30000,300,1,1
23248,Male,1,3,Not Graduate,1,42401,42121,50000,300,0,0
23249,Male,1,2,Not Graduate,0,67953,16412,50000,60,1,1
23250,Male,1,2,Graduate,1,23391,24420,20000,240,1,0
23251,Male,0,3,Graduate,1,87127,29887,50000,60,1,1
23252,Male,1,2,Graduate,1,71777,42360,40000,180,1,1
23253,Male,0,4,Not Graduate,1,73608,6233,20000,120,1,1
23254,Male,0,0,Graduate,1,49785,,50000,120,0,1
23255,Male,0,0,Not Graduate,0,15085,39166,50000,60,1,1
23256,Male,0,2,Graduate,0,50625,35552,20000,300,1,1
23257,Male,0,1,Not Graduate,1,51141,,10000,180,1,1
23258,Male,0,2,Not Graduate,0,86926,16628,40000,240,0,1
23259,Female,0,3,Not Graduate,1,27300,2010,30000,120,1,0
23260,Female,1,3,Graduate,1,35697,7221,40000,300,1,1
23261,Male,0,1,Graduate,1,57244,46674,20000,360,1,1
23262,Male,0,4,Graduate,0,39871,33966,60000,300,1,1
23263,Female,0,3,Graduate,1,25434,48231,60000,360,1,1
23264,Male,0,3,Not Graduate,1,69793,19591,30000,60,0,0
23265,Female,0,3,Not Graduate,0,12804,44270,30000,120,1,1
23266,Female,0,4,Not Graduate,0,98832,20420,50000,300,1,0
23267,Male,0,4,Graduate,1,38207,37588,50000,300,1,1
23268,Female,0,1,Not Graduate,0,55826,37299,30000,180,1,1
23269,Female,1,4,Not Graduate,1,37930,,60000,180,0,1
23270,Male,0,4,Not Graduate,0,60376,13755,50000,60,1,1
23271,Female,1,4,Not Graduate,1,80582,39963,60000,60,1,1
23272,Male,0,4,Graduate,0,74027,37162,10000,240,0,0
23273,Male,0,3,Graduate,1,80757,32346,10000,360,1,1
23274,Female,0,2,Graduate,1,37877,21540,40000,60,1,0
23275,Male,1,1,Graduate,0,75430,,30000,60,1,1
23276,Female,1,4,Not Graduate,1,94652,48254,60000,180,1,0
23277,Male,0,4,Not Graduate,1,29988,11968,20000,300,1,1
23278,Female,0,0,,1,67368,15240,10000,360,1,1
23279,Male,1,2,Graduate,1,27622,16852,60000,300,1,1
23280,Male,0,0,Not Graduate,0,14449,7163,10000,360,1,1
23281,Female,0,2,Not Graduate,0,4951,7372,30000,180,1,0
23282,Female,0,0,Not Graduate,0,64907,47764,20000,360,1,0
23283,Male,0,3,Not Graduate,1,28396,,30000,180,1,1
23284,Male,0,4,Graduate,1,69117,32054,30000,60,1,1
23285,Female,1,0,Graduate,1,52939,16185,20000,300,1,1
23286,Female,0,0,Not Graduate,1,17647,18432,20000,60,1,0
23287,Male,0,1,Not Graduate,1,84804,42129,60000,240,1,0
23288,Female,1,2,Not Graduate,0,51543,,50000,180,0,0
23289,Female,0,3,Not Graduate,1,41992,24679,60000,60,1,0
23290,Female,0,3,Not Graduate,1,4072,5028,60000,180,1,0
23291,Male,0,1,Graduate,0,30422,44565,50000,360,1,1
23292,Male,0,3,,0,69488,43518,30000,360,1,1
23293,Male,1,1,Not Graduate,0,62577,44377,40000,60,1,1
23294,Male,0,1,Not Graduate,1,92958,3115,20000,180,1,0
23295,Male,1,4,Not Graduate,0,16956,35066,10000,120,0,0
23296,Male,0,1,,0,35113,16657,10000,360,0,1
23297,,0,4,Graduate,1,40657,38593,30000,180,1,1
23298,,0,1,Graduate,0,90157,22996,10000,60,1,1
23299,Male,1,2,Not Graduate,1,44039,45472,50000,240,1,1
23300,Male,0,1,Not Graduate,1,76522,4522,10000,120,1,1
23301,Male,1,4,Not Graduate,1,83015,22031,50000,60,1,0
23302,Female,0,0,Not Graduate,1,88520,,20000,120,0,0
23303,Male,1,1,Graduate,1,70289,6607,40000,120,0,1
23304,Male,1,1,Graduate,0,47828,44514,20000,240,1,1
23305,Male,1,1,,1,86654,36024,20000,120,1,1
23306,Female,0,0,Not Graduate,1,29693,44245,60000,240,0,0
23307,Male,0,3,Not Graduate,1,92954,46400,30000,360,1,0
23308,Female,0,4,Graduate,0,36906,25967,40000,240,1,0
23309,Female,0,0,Graduate,1,46952,,50000,180,1,0
23310,Female,0,0,Not Graduate,0,83236,,30000,360,0,1
23311,Female,1,2,Not Graduate,0,23065,,40000,180,0,1
23312,Female,0,1,Not Graduate,1,57046,45446,50000,360,1,1
23313,Male,0,3,,0,97808,41147,40000,60,1,0
23314,Male,0,0,Not Graduate,0,69980,21107,30000,120,1,1
23315,Male,0,2,Not Graduate,1,81400,22800,10000,360,1,1
23316,Female,1,0,Not Graduate,1,5630,17474,30000,240,0,1
23317,Female,0,3,Not Graduate,0,38306,23301,30000,360,1,1
23318,Female,0,2,Not Graduate,1,70981,48305,20000,180,1,0
23319,Female,0,3,Not Graduate,1,4115,19651,10000,180,0,1
23320,Female,0,1,Not Graduate,1,4593,17913,10000,240,1,1
23321,Male,0,2,Not Graduate,1,40701,,30000,300,0,0
23322,Female,1,1,,0,50856,19013,50000,180,1,1
23323,Male,1,1,Graduate,1,62691,8642,50000,180,1,1
23324,Female,1,0,Not Graduate,0,46075,41235,40000,240,1,1
23325,Female,0,1,Graduate,1,81609,35656,10000,240,1,1
23326,Male,0,0,Graduate,1,74414,42245,40000,180,1,1
23327,Male,1,4,Not Graduate,0,21381,36765,10000,120,1,1
23328,Female,1,3,Not Graduate,1,76708,7643,60000,120,1,0
23329,Male,0,1,Not Graduate,1,53651,20083,30000,300,1,1
23330,Female,0,0,Graduate,1,53224,20101,50000,240,0,1
23331,Male,1,4,Graduate,1,28264,25464,50000,120,0,0
23332,Female,0,4,Graduate,0,84844,8203,50000,120,1,1
23333,Male,0,2,Not Graduate,0,16676,26693,50000,180,1,1
23334,Female,1,3,Graduate,0,99609,22933,40000,300,1,1
23335,Female,1,3,Graduate,1,8177,14148,20000,360,1,0
23336,Male,1,3,Not Graduate,0,61662,22316,40000,60,1,1
23337,Male,1,3,Not Graduate,1,34671,21905,10000,120,1,0
23338,Male,1,4,Graduate,1,90743,46671,30000,360,0,1
23339,Female,1,4,Graduate,0,72771,33496,10000,240,1,1
23340,Female,0,0,Graduate,1,14636,5028,20000,60,0,0
23341,Female,0,3,Not Graduate,0,89528,24697,50000,60,1,1
23342,Male,1,0,Graduate,0,62849,33970,30000,300,1,1
23343,Male,0,2,Graduate,1,21609,40500,20000,360,1,0
23344,Female,1,1,Not Graduate,1,89806,,60000,240,1,1
23345,Female,0,3,Graduate,0,54711,34297,60000,360,1,1
23346,Female,1,1,Not Graduate,1,24240,41680,20000,60,0,1
23347,Male,0,2,,1,31531,30739,10000,120,1,0
23348,Female,0,2,Graduate,0,99857,14443,20000,240,1,1
23349,Male,0,2,Graduate,1,3612,10805,50000,360,1,1
23350,Female,1,2,Graduate,1,72012,,40000,360,1,1
23351,Female,0,4,Graduate,1,81343,10087,60000,180,1,1
23352,Male,0,0,Not Graduate,1,91573,9452,60000,360,1,1
23353,Female,0,1,Graduate,0,17620,27875,50000,60,1,0
23354,Female,0,2,Not Graduate,0,46924,38535,30000,360,0,1
23355,Female,1,2,Not Graduate,1,7289,2028,10000,120,1,1
23356,Male,0,4,Not Graduate,0,28906,8123,20000,360,1,0
23357,Male,0,4,Not Graduate,0,87052,41417,60000,300,1,1
23358,Male,1,0,Not Graduate,1,86570,40179,50000,180,1,1
23359,Female,0,1,Not Graduate,1,86317,34972,30000,240,1,1
23360,Female,0,2,Not Graduate,1,27633,38985,60000,60,1,1
23361,Female,1,3,Not Graduate,0,66091,6705,30000,240,0,1
23362,Female,0,1,Not Graduate,1,46720,40225,30000,300,0,1
23363,,1,0,Graduate,1,5258,,50000,120,1,1
23364,Male,1,4,Graduate,0,36584,,30000,180,1,1
23365,Male,1,2,Graduate,1,74639,27684,50000,180,1,0
23366,Male,0,3,Not Graduate,0,15392,27056,40000,240,1,1
23367,Male,1,2,Graduate,1,61595,29031,40000,180,1,1
23368,Male,1,3,Not Graduate,1,80650,42881,30000,360,1,1
23369,Female,0,4,Graduate,1,83433,45515,40000,360,1,1
23370,Male,1,0,Graduate,0,97833,13234,60000,240,0,1
23371,Male,1,1,,1,93451,4337,50000,120,1,1
23372,Male,1,3,Not Graduate,1,13150,38507,20000,60,0,1
23373,Male,0,2,Not Graduate,1,31045,49230,40000,360,0,1
23374,Male,1,4,Not Graduate,0,34622,,50000,60,1,0
23375,Male,1,4,Not Graduate,1,1358,8813,60000,120,1,1
23376,Male,0,1,Graduate,1,61426,15280,30000,120,1,1
23377,Male,1,3,Not Graduate,1,52084,11068,60000,60,1,1
23378,Female,0,2,Graduate,1,61207,31950,30000,120,0,1
23379,Male,1,4,Not Graduate,1,37762,21687,30000,360,1,1
23380,Female,1,4,Not Graduate,0,47587,,30000,60,1,1
23381,Male,0,4,Graduate,1,90353,25597,40000,60,1,1
23382,Male,1,3,Graduate,1,56820,36586,10000,180,1,1
23383,Female,1,3,Graduate,1,23422,20585,30000,240,1,1
23384,Female,0,3,Not Graduate,1,84807,5141,50000,180,0,1
23385,Male,1,0,,1,20647,29607,20000,120,1,0
23386,Male,0,1,Not Graduate,1,3147,29155,60000,60,1,0
23387,Male,1,4,Not Graduate,0,23770,17174,10000,360,1,0
23388,Female,0,3,Not Graduate,1,49049,46997,40000,360,1,1
23389,Male,1,4,,0,31979,2235,60000,120,1,1
23390,Male,1,2,Graduate,1,2704,45090,20000,300,1,0
23391,Male,1,2,Not Graduate,1,74049,25286,50000,360,1,1
23392,Male,0,4,Graduate,1,42989,3963,50000,180,1,1
23393,Male,0,1,Graduate,0,42801,34895,40000,60,1,1
23394,Male,1,4,Not Graduate,1,27918,39153,20000,60,1,0
23395,Male,1,1,Not Graduate,0,14506,16574,20000,120,1,1
23396,Male,1,1,Not Graduate,1,37139,29394,50000,60,1,1
23397,Male,0,3,Not Graduate,0,15807,,60000,120,1,1
23398,Female,1,0,Not Graduate,0,48443,39132,30000,120,1,1
23399,Female,0,4,Graduate,1,79015,12636,30000,180,1,0
23400,Female,0,4,,1,89225,,60000,180,0,1
23401,Male,0,4,Graduate,1,15903,46651,30000,300,1,0
23402,,1,2,Not Graduate,1,6762,30656,30000,360,1,1
23403,Female,0,1,Not Graduate,1,60575,49438,50000,120,1,0
23404,Male,0,2,Graduate,1,60762,1731,40000,60,1,1
23405,Male,0,0,Graduate,0,86034,31019,20000,360,1,1
23406,Male,1,4,Not Graduate,0,38083,45893,10000,300,1,1
23407,Male,0,0,Graduate,1,78101,49282,30000,60,1,1
23408,Male,0,1,Graduate,0,81051,28560,40000,300,1,1
23409,Female,0,3,Not Graduate,0,25272,41731,50000,300,1,1
23410,Female,0,4,Graduate,1,24657,33687,40000,300,0,0
23411,Male,1,0,Graduate,1,84325,31139,50000,120,1,0
23412,Female,0,3,Not Graduate,1,59000,21905,60000,360,0,1
23413,Male,0,1,Graduate,0,62704,22623,60000,300,1,1
23414,Female,1,1,Not Graduate,0,39463,16864,40000,120,1,0
23415,Male,1,2,Not Graduate,0,37511,11596,20000,300,0,0
23416,Male,0,3,Not Graduate,1,28426,31027,60000,300,0,1
23417,Male,0,3,Not Graduate,0,23272,35283,40000,120,1,1
23418,Female,1,4,Not Graduate,0,95641,49826,60000,120,1,1
23419,Male,1,3,Not Graduate,0,83580,20597,20000,240,1,1
23420,Male,0,2,Not Graduate,1,14590,16291,30000,240,1,0
23421,Male,0,1,Not Graduate,0,82433,12191,20000,240,1,0
23422,Female,0,4,Not Graduate,0,29344,8189,60000,300,0,1
23423,Female,1,1,Graduate,1,15255,,60000,360,1,1
23424,Female,1,4,Not Graduate,0,89172,40305,20000,360,1,1
23425,Male,0,0,Not Graduate,1,40990,,40000,240,1,1
